question,answer
What is the NTA CSIR UGC- NET Exam?,The Council of Scientific and Industrial Research has entrusted the responsibility of conducting CSIR UGC-NET to the NTA (National Testing Agency). NTA CSIR UGC-NET is a test being conducted for determining the eligibility for the Lectureship and Research program in Science & Technology field in order to ensure minimum standards for the entrants in the teaching profession and research. 
What is the responsibility of NTA for CSIR UGC-NET Dec 2019?,"NTA has been established as a premier, specialist, autonomous and self-sustained testing organization to conduct entrance examination (CSIR UGC NET Dec 2019) for fellowship in Indian colleges & University. CSIR UGC-NET Exam which is commonly known as National Eligibility Test is conducted by the National Testing Agency for determining the eligibility for the lectureship and Research program in Science & Technology field."
What is difference b/w NTA UGC - NET and NTA CSIR UGC - NET Exam?,"The Main difference between the UGC NET and CSIR UGC NET is that the UGC-NET Test is conducted in Humanities (including languages), Social Sciences, Forensic Science, Environmental Sciences, Computer Science and Applications and Electronic Science and the CSIR UGC-NET is for other Science subjects, namely, Life Sciences, Physical Sciences, Chemical Sciences, Mathematical Sciences and Earth Atmospheric Ocean & Planetary Sciences jointly with the UGC."
When will the Online Application form for CSIR UGC-NET Dec 2019 be available on website?,The Online Application form for CSIR UGC-NET Dec 2019 will be available from 09-09-2019 to 09-10-2019 on the csirnet.nta.nic.in website.
"When will CSIR UGC-NET, 2019 Examination be conducted?",The CSIR UGC-NET Exam would be held in the month of December on 15.12.2019 (Sunday).
How many times would the CSIR UGC-NET be conducted in a year?,The CSIR UGC-NET Exam will be conducted twice in a year in the months of December and June.
Whether the examination will be offline or online?,This will be computer-based test. This means that a candidate will sit for the exam in front of a computer
Is there any Negative Marking in the CSIR UGC-NET December 2019?,"Yes, there is Negative Marking in CSIR UGC-NET December, 2019.The negative marking is at 25% for each incorrect answer."
How can I get the CSIR UGC-NET Certificate?,"CSIR UGC-NET Certificate will be provided to those who qualify the exam. After the result declaration, successful aspirants are required to send self – attested photocopies of documents that can prove their eligibility to CSIR. CSIR will issue a qualifying certificate after verifying the documents."
What is validity of CSIR UGC-NET Certificate?,"For Junior Research Fellowship, the validity period of CSIR UGC NET score card is 3 Years and the certificate is valid for lifetime for Assistant Professor."
Will NTA reserve its discretion to fix the centre in a city which is given in the Annexure-I?,"As far as possible the candidate will be given a choice from the options offered, however NTA may need to use discretion due to administrative reasons."
How can I select the Date and Slot of Examination of CSIR UGC-NET December 2019?,There is no facility for the candidates to choose the examination dates and shifts as the selection of examination dates/shifts will be allotted by the NTA as per the availability in the four cities that you have opted for.
"In case the Photograph does not have Name and Date, would the form be rejected?","1. The Application Form will not be rejected in this case because it is not mandatory to mention the Name & Date in Photograph. Photograph should not be with cap or goggles. Spectacles are allowed if being used regularly. Polaroid and Computer-generated photos are not acceptable. 2. Applications not complying with these instructions or with unclear photographs are liable to be rejected. Candidates may please note that if it is found that photograph uploaded is fabricated i.e. de-shaped or seems to be hand-made or computer made, the form of the candidate will be rejected and the same would be considered as using unfair means and the candidate would be dealt with accordingly. 3. Candidates are advised to take 6 to 8 passport size colored photographs clear with white background. 4. The candidate should scan his/her passport size photograph for uploading. File size must be between 10 kb to 200 kb."
"In case, the Candidate has uploaded Blue Signature instead of a Black Signature in the application form of CSIR UGC-NET December 2019. Is it okay?",Your Application Form will not be rejected merely for this mistake.
Is there any helpline for CSIR UGC - NET December 2019 examination for the aspirants?,"Yes. Details are available on websitecsirnet.nta.nic.in E-mail: csirnet@nta.ac.in Queries:0120-6895200(Helpdesk Centre, NTA)"
I have no access to a computer and no experience with Computer Based Examination. How can I prepare for the exam? ,"NTA will identify schools and colleges with internet and computer facilities. The same will be designated as Test Practice Centers (TPCs) for facilitating free practice sessions on every Saturday and Sunday for CSIR UGCNET Dec, 2019 aspirants. An NTA App is also available."
"What is the syllabus for CSIR UGCNET Dec, 2019?",The syllabus and scheme of exam may be seen at CSIRHRDG Website: www.csirhrdg.res.in .
From where can previous year question papers of CSIR UGC-NET 2019 be seen?,The previous year question paper can be seen in the Mock Test Sample Question paper available on website : csirnet.nta.nic.in
Can NTA fix the examination centre in any city other than the options exercised by the candidates?,"The candidates have to select any four cities of their choice for examination of NET December,2019. The efforts will be made to allot city of examination to the candidates in order of the choice opted by them in their application form. However, this is not a guarantee."
"What are the duration/timings of CSIR UGC-NET Dec, 2019?",The detailed pattern of examination is mentioned in Information Bulletin available on website csirnet.nta.nic.in
"How to fill up ‘online’ application form for CSIR UGC-NET Dec, 2019? Are there any guidelines for the students before filling the application form?",The details regarding submission of application is available in the NTA website i.e. csirnet.nta.nic.in For more details please go through the Information Bulletin Annexure-VI (Replica of Application Form)
What action is to be taken if the candidate has opted English as a medium for examination and wants to appear in Hindi medium?,The medium should be filled while applying online however in CBT. You can also choose the medium during the examination.
Is Thumb Impression mandatory while filling CSIR UGC NET Dec 2019 application?,There is no need to upload thumb impression in online application of CSIR UGC NET Dec 2019.
