question,answer
Whether the examination will be offline or online?,The examination will be conducted through Computer Based Test made only.
What do the candidates need to bring to the exam center?,"The candidate is required to bring the following at the examination centre (Also read the Information Bulletin carefully):- Admit Card along with passport size photograph affixed on it. One passport size photograph to be affixed on attendance sheet. Candidates are advised not to bring any other item in the examination centres. There will be no arrangement for safe keeping of any material at the centre. Neither NTA nor centre will be responsible for any loss, delay etc."
What action is to be taken if the candidate has opted English as a medium for examination and wants to appear in Hindi medium?,The medium should be filled while applying online however in CBT. You can also choose the medium during the examination.
What are the enclosures that should be attached with the confirmation page to be sent to the NTA?,Candidates are not required to send/submit any document(s) including Confirmation Page to NTA through Post/ Fax/ By Hand.
Will any candidate be able to leave early if he finishes the test before the allocated test time?,No candidate will be allowed to leave the examination hall/room before the test concludes.
What is National Testing Agency (NTA)?,"The Ministry of Human Resource Development (MHRD) has set up �National Testing Agency� (NTA), (www.nta.ac.in) a premier testing Agency, to conduct computer-based entrance examinations, for higher educational Institutions. This shall bring in transparency and qualitative difference in Competitive examination process."
What is the Mission of NTA?,"To improve equity and quality in education by administering research based valid, reliable, efficient, transparent, fair and international level assessments. The best subject matter experts, psychometricians and IT delivery and security professionals will ensure that the current gaps in existing assessment systems are properly identified and bridged."
What are the Examinations to be conducted by NTA?,"Entrance Examinations
JEE(Main)
UGC-NETAssessments for fellowship
CMAT & GPAT
NEET � UG"
Whether all the Examinations conducted by NTA will be offline or online?,All the above Examinations will be computer based tests except NEET Exam. NEET will be a single Exam in Pen-and-Paper Mode and will be conducted in the same no. of languages as was conducted last year.
What is the primary objective of Test Practice Centre (TPC)?,The objective of TPCs is primarily to familiarize the candidates for taking the upcoming NTA examinations in Computer Based Test Mode.
Norms for candidate to register for a TPC,"A candidate intending to appear JEE (Main) & UGC-NET and having cleared or likely (within next six month) to clear the pre- requisite qualification, to respective entrance Tests."
Can students applying for NEET- UG join TPCs?,"At present Mock Test for students, aspiring for NEET-UG Test is not available at TPCs. A notice to this effect shall be put on NTA website, as and when the Mock test for UGC-NEET is going to be
available."
What are the steps to register for Mock Test in Test Practice Centre (TPC) through website (www.nta.ac.in)?,"Following are the steps, to register for Test Practice Centre, from NTA Website (www.nta.ac.in):
Step 1: Visit NTA website www.nta.ac.in and click on the link �Student Registration (For Mock Test)�, for a Test Practice Centre (TPC).
Step 2: Sign in using their Google/Facebook account/Mobile No. For Gmail login, candidate must enter email id & password. After authentication, candidate has to click on selected Gmail Id.                                Step 3: After login confirmation, student will be redirected to registration. The Candidate will enter Personal Information (First name, last name, father�s name, gender, date of birth, uploading scanned passport sized photo and uploading scanned photo id proof).                                                                                                                                                                                                                                      Step 4: �Contact Information�: Candidate needs to enter contact Information (Email ID, Mobile No. & Residential Address).                                                                                                                             Step 5: �Academic Information�: Candidate needs to enter Academic Information.                                                                                                                                                                                              Step 6: �Exam Information�: Candidate needs to enter exam information.                                                                                                                                                                                                    Step 7: After completing above steps, the list of TPC nearby your location will appear on the screen with approximate distances in Km from your location, candidate need to select 5 centers in order of preference. Step 8: �Session Selection�: Candidate needs to select any one session out of 12 sessions in a month which he/she wishes to appear for the practice test.
Step 9: �Review the Center Selection & Slot Selection�: Candidate needs to review the selection and after reviewing click on �Confirm Appointment�. Candidate can see that the data entered has been submitted.                                                                                                                                                                                                                                                                                                                       After successfully completing above steps, Candidate shall get approval through SMS, in his/her registered mobile number. The candidate shall receive the date and slot to visit through SMS/registered e-mail Id. The same SMS will be used for entry at the Centre."
Whether the Test Practice Centre (TPC) will charge any fee from the candidates for Mock Test?,The facility of Mock Test for all the candidates will be completely free of cost and Test Practice Centre (TPC) will not charge any fee from the Candidate.
How many no. of attempts are allowed for students to appear in Mock Test in Test Practice Centre (TPC)?,There is no limit for the no. of attempts. Students can choose next date of Mock test.
Can candidates change their Test Practice Centre (TPC) preferences after final submission of registration?,There is no facility to change the Test Practice Centre (TPC) preferences after final submission of registration. Candidate may get any of TPC out of the five preferences or in some cases other than out of the choice offered.
Shall all students registered receive TPC allotment.,"In some cases, due technical issues, some candidates may not receive allotment of TPC and date as requested by candidate. In that case the candidate holds registration and needs to rebook his/her preferred date and slot."
How will candidates know about the Test Date and Slot of Test Practice Centre (TPC)?,The candidates will receive the date and slot for practice at TPC through SMS/registered e-mail Id 24-48 hours before the scheduled slot in TPC. The same SMS will be used for entry at the Centre.
"Can the Student give the Mock Test from Home, using their PC/Laptop?
",Student can download the Mock Test Material to be made available in the website of NTA www.nta.ac.in and practice the Mock Test at Home using their PC/Laptop. The same will also be available on NTA Student App.
Where will the candidates get the latest updates about Mock Test/ Student Registration/TPC?,"For latest updates, keep visiting the website of NTA www.nta.ac.in"
Can a student walk in a TPC?,"Not allowed, in fact a candidate should get Students registration done, and after receiving allotment of TPC, date and time of practice from NTA on Mobile as SMS should visit the TPC as communicated."
Email ID or Mobile Number at NTA for timely solutions of queries on TPC?,"Email ID: kaulp428@gmail.com & tpcntaexams@gmail.com,  Mob. 9354946422, 9354957636"
Is NTA is providing Free Coaching to the Students?,"As of now, NTA is providing only free Mock Test to the students in Test Practice Centre (TPC). The same facility will also be available on the website www.nta.ac.in and �NTA Student�App. Initially, only one Mock Test is available for the Exams JEE (Main) & UGC-NET. The number will be gradually increases."
"How an institution/school/college can become part of NTA family for Test Practice Centre (TPC)?
","The Institution has to register on the website of NTA (www.nta.ac.in) on the link  �Training Practice Center : Registration� or follow the below link to become a Test Practice Test (TPC)  https://nta.ac.in/PC,
Fill information online & submit."
What is minimum infrastructure required to become a Test Practice Centre (TPC)?,"The following are minimum infrastructural facilities required from an institute/school/college:
30 Computers and more with necessary software
Local Area Network (LAN) or some Internet at all PCs.
Power Backup for at least 30 Minutes of working.
Labs/Rooms forTPC
Necessary furniture.
Necessary manpower for ensuring uninterrupted working of all units."
Is there any Agreement or MoU to be signed by Test Practice Centre (TPC) with NTA?,"Yes, there is an agreement/MoU to be signed between the NTA and Institutions who want to become the Test Practice Centre (TPC)."
Can institution send MoU through mail or post to NTA?,The institutions are not required to send the signed MoU through mail or Post. It should be uploaded on NTA website.
Test Practice Centre (TPC) has successfully registered with NTA but forgot the registered Email ID and Password while uploading the MoU on the website.,"The link for Test Practice Centre Login:https://www.nta.ac.in/Centre/Login                                                                                                                                                                                              User ID: Nodal�s Officer Email ID
Password: Nodal�s Officer Mobile No.                                                                                                                                                                                                                                                             Reset Password feature is available."
How will a Candidate register for Test Practice Centre (TPC)?,"Candidate will register for Test Practice Centre (TPC) through NTA website (www.nta.ac.in) or through Mobile App. For Mobile App, Candidate will have to Search on Play Store for �NTA STUDENT APP�, click on the search result of NTA Student and install the application. The Mobile App will include all the features as given for registration through the website."
How will the Test Practice Centre (TPC) get the Mock Test Material and from Where?,"The Test Practice Centre (TPC) will get the Mock Test Material in their Login ID on our website. TPC has to login with User ID and Password.
https://nta.ac.in/Centre/Login"
How will the Test Practice Centre (TPC) know about the No. of Registered Candidates in their institution?,The Test Practice Centre (TPC) will get the latest status of Registered Candidates (at least a day before the test) in their Dashboard available in the login portal of TPC.TPC has to login with User ID and Password. A mail is also being sent to this effect. https://nta.ac.in/Centre/Login
Test Practice Centre (TPC) has successfully made a new password and uploaded MoU in the website but forgot the Password while login to know about the no. of registered candidates.,Reset Password feature is available.
How will the Test Practice Centre (TPC) know if it is an operative TPC and When will they get the Final List of Candidates?,The final selection process of a TPC shall be done automatically based on the propelled population of students in that area and exercising that particular TPCs choice. An operative TPC for the weekend shall be selected by the process as explained above and that TPC shall be communicated accordingly.The List of candidates shall be communicated 24-48 hours before the scheduled date of Mock Test to the operative TPC .
How many days a week the Test Practice Centre (TPC) conducts Mock Test for Candidates?,The TPCs shall be operative on all Saturday afternoon slot from 14:30 to 17:30 Hrs and Sunday two slots are from 11:00 to 14:00 Hrs and 14:30 to 17:30 Hrs.
Can a Test Practice Centre (TPC) edit or correct their details?,"Yes, Test Practice Centre (TPC) can edit certain details in the NTA Database. For any change TPC Nodal Officer can login his/her credentials in the dashboard and make necessary edits."
"Is the Remuneration fixed as mentioned in MoU, even if the Test Practice Centre (TPC) is having more than 30 Computers?",The Remuneration to Test Practice Centre (TPC) is clearly indicated in MoU and is subject for revision by the NTA.
How will the Test Practice Centre (TPC) authenticate the Candidates for Mock Test?,The candidates will receive the date and slot for practice at TPC through SMS/registered e-mail Id 24-48 hours before the scheduled slot in TPC. The same SMS will be used for entry at the Centre.
"Will there be any issue, if Test Practice Centre (TPC) is not operational on Saturdays/Sundays?","In such emergency, Test Practice Centre (TPC) will have to inform the NTA and send a mail to the Nodal Officer, NTA."
How is Student List issued to a TPC by NTA?,"As explained above, the process is student dependent and is automatic. When a student registers for a TPC, a choice of TPCs appear before him/her. If a particular TPC near his/her place of stay is not visible as a choice in the Student Registration. The TPC may raise the issue and send a mail to kaulp428@gmail.com for correction."
Should a TPC mail the attendance of candidates.,"The TPC Nodal Officer is required to upload on NTA website, information regarding operations and issues concerning a TPC, on the �Appraisal Form� for each TPC date allotted by the NTA. This is must for release of payment by NTA to TPC."
"Students are not able to see a TPC in their choice list, while registering.","If a TPC receives such an information that their Institute is not seen by the candidates as a choice near their vicinity, the Nodal Officer should immediately bring to the notice of NTA, for inclusion."
What is UGC-NET?,UGC-NET or University Grants Commission – National Eligibility Test is a test conducted to determine the eligibility for ‘Assistant Professor’ or ‘Assistant Professor & Junior Research Fellowship’ both in college and university.
"What is the responsibility of NTA for, UGC-NET December 2019?","NTA has been established by The Ministry of Human Resource Development (MHRD), Government of India (GOI) as a premier, specialist, autonomous and self-sustained testing organization 1860 for conducting efficient, transparent and international standards tests in order to assess the competency of candidates for admissions to premier higher education institutions. has established National Testing Agency (NTA) as an independent autonomous and self-sustained premier testing organization under Society Registration Act The University Grants Commission (UGC) has entrusted the responsibility of conducting UGC-NET to the NTA."
When will be the Online Application form for UGC NET December 2019 be available on website?,The Online Application form for UGC NET December 2019 will be available from 02-09-2019 to 01-10-2019 on the www.ntanet.nic.in website.
"When will UGC-NET, 2019 Examination be conducted?","The UGC-NET Examination is usually conducted twice a year in June and December. In December, it would be held between 2nd and 6th December, 2019"
Whether the examination will be offline or online? ,"This will be a Computer Based Test, only"
Will NTA reserve its discretion to fix the centre in a city which is given in the Annexure-I?,"As far as possible the candidate will be given a choice from the options offered, however, NTA may need to use discretion due to administrative reasons."
Can a centre be allotted by the NTA manually?,No
How long is the result/award of UGC-NET valid?,"For Junior Research Fellowship: The validity period of the offer is three years w.e.f. the date of issue of JRF Award letter. However, in case of candidate who has already joined M.Phil. /Ph.D., the date of commencement of Fellowship shall be from the date of declaration of NET result or date of their joining, whichever is later."
"What if the dates of Examination of UGC-NET December, 2019 clashes with any other National / State level examination?","NTA will check the issue, and rectify it as per the availability of examination dates. However Candidates need to mail us subjects in which they have registered /intend to appear"
Where will the NET Qualified Candidate get the E-Certificate?,"Till December 2018 test administration_the role of NTA was limited to the conduct of NET Examination and declaration of result. The E-certificates to qualified candidates were issued by UGC- NET Bureau. For December 2019, the e-certificates and JRF award letter, both would be issued by NTA on behalf of UGC."
"Is there any Negative Marking in the UGC-NET December, 2019?","No, there is no Negative Marking in UGC-NET December, 2019."
"How can I select the Date and Shift of Examination of UGC-NET December, 2019? ",There is no facility for the candidates to choose the examination dates and shifts. Examination dates/shifts will be allotted by the NTA as per the availability of seats in the four cities opted by the candidates
"Is there any helpline for UGC-NET December, 2019 examination for the aspirants?",Yes. Details are available on the website www.nta.ac.in and in Information Bulletin. Helpline No.:- E-mail: ugcnet-nta@nic.in .
What is the number of attempts for appearing in UGC-NET?,UGC-NET is conducted twice a year. There is no restriction on number of attempts.
"In case, the Candidate has uploaded Signature in blue ink instead of black ink with the application form of UGC-NET December, 2019, will the form be rejected?","Your Application Form will not be rejected merely for this mistake, if other fields are appropriately filled"
"What is the syllabus for UGC-NET December, 2019?",The link for updated syllabus is given below: https://www.ugcnetonline.in/syllabus-new.php
"Will updated syllabus of NET be applicable to UGC-NET December, 2019?",The updated syllabus of UGC-NET will be applicable for upcoming exams from June 2019 onwards.
Can NTA allot the examination centre in any city other than the options exercised by the candidates?,"The candidates have to select any four cities of their choice for examination of NET December, 2019. The efforts will be made to allot city of examination to the candidates as per their choice opted in the application form. However, this is not a guarantee. Due to administrative reasons, centres may be allocated to a city other than 4 options."
"What is the duration/timing of UGC-NET December, 2019?",Duration of the examination is 3 hours (180 minutes) in a single session. The detailed schedule and timing is mentioned in Information bulletin available on website www.ntanet.nic.in
"How to fill up ‘online’ Application Form for UGC-NET December, 2019? Are there any guidelines for the students before filling the application form?",The details regarding submission of application is available in the NTA website i.e. www.ntanet.nic.in For more details please go through the Information Bulletin Annexure-VIII (Replica of Application Form)
What action is to be taken if the candidate has opted English as a medium for examination and wants to appear in Hindi medium?,"The medium option should be filled carefully while applying online. However in CBT, candidates can also change the medium of question during the examination."
Is Thumb Impression mandatory while filling UGC NET December 2019 Application Form?,There is no need to upload thumb impression in online application of UGC NET December 2019.
"What should I do, if ‘continuous timeout’ or ‘file not found error’ occurs while filling online Application Form of UGC NET December 2019?",Use updated version of Mozilla Firefox/Internet Explorer and good internet connection while filling application form. In case of continuous time out one can clear cookies and history of the browser and fill in off-peak hours.
What are the enclosures that should be sent to NTA along with the confirmation page ?,Candidates are not required to send/submit any document(s) including Confirmation Page to NTA through Post/ Fax/ By Hand.
I have no access to a computer and no experience with Computer Based Tests. How can I prepare for the exam?,"NTA has selected chools and colleges with internet and computer facilities, and these centres have been designated as Test Practice Centers (TPCs) for facilitating free practice sessions on every Saturday and Sunday for UGC-NET December, 2019 aspirants. There are over 4000 TPCs in the country. An NTA App is also available for free download."
What do the candidates need to bring to the exam center?,"The candidate is required to bring the following at the examination centre (Also read the Information Bulletin
carefully):-
 Admit Card downloaded from NTA website
 One passport size photograph to be affixed on attendance
sheet.
 An original valid Govt Photo Id
 PwD Certificate (in order to avail facilities for PwD
Candidates)
Candidates are advised not to bring any other item in the
examination centres. There will be no arrangement for safe
keeping of any material at the centre. Neither NTA nor centre
will be responsible for any loss, delay etc"
"In case the Photograph does not carry Name & Date of the Photograph, would the form be rejected?","1. The Application form will not be rejected in this case because it is not mandatory to mention Name & Date in Photograph. However, photograph should be clear, and without cap or goggles. Spectacles are allowed if being used regularly. Polaroid and Computer generated photos are not acceptable. 2. Applications not complying with these instructions or with unclear photographs are liable to be rejected. Candidates may please note that if it is found that photograph uploaded is fabricated i.e. de-shaped or seems to be hand-made or computer made, the form of the candidate will be rejected and the same would be considered as using unfair means and the candidate would be dealt with accordingly. 3. Candidates are advised to take 6 to 8 passport size coloured photographs clear with white background. 4. The candidate should scan his/her passport size photograph for uploading. File size must be between 10 kb to 200 kb."
Will any candidate be able to leave early if he finishes the test before the allocated test time?,"No, candidate will not be allowed to leave the examination hall/room before the test concludes."
"If one does not get Admit Card, whom should he/she contact?","Admit cards will not be sent to individual candidates, it will be uploaded on the website. Candidates need to download the Admit Card from the website only. In case of any difficulty, mail us on ugcnet-nta@nic.in. "
"How will one know the result of the UGC-NET December, 2019?","The result of UGC-NET December, 2019 will be uploaded on the website www.nta.ac.in / www.ntanet.nic.in , as per the schedule. Candidates may be informed through Print media as well."
Can a candidate change the examination centre after issue of Admit Card?,Examination Centre cannot be changed once Admit Card has been issued.
"If mistakenly during filling up of the form, wrong particulars are filled in the online form, how will it be corrected?","Rectification Window will open as a one time opportunity after a week of last date of application. During this window candidates would be able to edit certain fields using their login credentials. However, no correction will be allowed after the closure of rectification window. "
"Can anyone cancel the application submitted for UGCNET December, 2019?","application submitted for UGCNET December, 2019? Online Application forms once submitted successfully cannot be cancelled/ withdrawn."
"What is the minimum eligibility criteria/qualification for appearing in UGC-NET December, 2019?",Candidates who are pursuing their Master’s degree or equivalent courses or candidates who have appeared for their qualifying Master’s degree (Final year) examination and whose result is still awaited or candidates whose qualifying examination have been delayed can appear in the UGC NET December 2019 Examination. For more details please go through the Information Bulletin.
"What is the minimum qualification for appearing in UGC-NET December, 2019 for candidates of General/Unreserved/Gen-EWS category?","Candidates who have secured at least 55% marks (without rounding off) in Master’s Degree OR equivalent examination from universities/ institutions recognized by UGC (on the website:https://www.ugc.ac.in/oldpdf/consolidated%20list%2 0of%20All%20universities.pdf) in Humanities (including languages) and Social Science, Computer Science & Applications, Electronic Science etc. (list of subjects at postgraduation level attached as Annexure-IV) are eligible for this Test. "
"What is the minimum qualification for appearing in UGC-NET December, 2019 for candidates of reserved category/ physically handicapped category/ PWD candidates?",The Other Backward Classes(OBC) belonging to noncreamy layer / Scheduled Caste(SC) / Scheduled Tribe(ST)/ Economically Weaker Section (EWS)/ Persons with Disability(PwD) category and candidates who have secured at least 50% marks (without rounding off) in Master’s degree or equivalent examination are eligible for this Test.
"What is the age limit/relaxation criteria for the candidates appearing in UGC-NET December, 2019?","(i) Junior Research Fellowship: Not more than 30 years as on 1 December,2019. A relaxation up to 5 years is provided to the candidates belonging to OBC (Noncreamy layer, as per the Central list of OBC available on website: www.ncbc.nic.in ) SC/ST/PD/Transgender categories and to women applicants. Relaxation will also be provided to the candidates having research experience, limited to the period spent on research in the relevant/related subject of post-graduation degree, subject to a maximum of 5 years, on production of a certificate from appropriate authority. Three years relaxation in age will be permissible to the candidates possessing L.L.M. Degree. A relaxation of up to 5 years is provided to the candidates who have served in the armed forces subject to the length of service in the armed forces up to the first day of the month in which the concerned UGC-NET is to be held. Total age relaxation on the above ground(s) shall not exceed five years under any circumstances.
(ii) Assistant Professor: There is no upper age limit for applying for eligibility for Assistant Professor."
Is there any exemption available for the eligibility for assistant professor?,"(i) NET/SET/SLET shall remain the minimum eligibility condition for recruitment and appointment of Assistant Professors in Universities/Colleges/ Institutions. In this regard, exemption from NET/SET/SLET will be governed by UGC regulations and amendments notified in the Gazette of India from time to time. (ii) The candidates who have passed the UGC/CSIR JRF examination prior to 1989 are also exempted from appearing in NET. (iii) For SET Candidates: The candidates who have cleared the States Eligibility Test (SET) accredited by UGC for eligibility for Assistant Professor held prior to 1st June 2002, are exempted from appearing in NET. For SET held from 1st June 2002 onwards, the qualified candidates are eligible to apply for the post of Assistant Professor only in the universities/ colleges situated in the state from where they have cleared their SET."
What is the reservation criteria for seats falling under the jurisdiction of States?,It is as per State Reservation Policy
"Can I apply for multiple subjects while filling the online application form of UGC-NET December, 2019? ","A candidate can fill an application form for only one subject. You can choose one from the subjects given in the Information Bulletin (ANNEXURE-III). However, filling in Multiple Forms will lead to cancellation of candidature."
