question,answer
When will start Online submission of JEE (Main) -2020 Application form?,03.09.2019 to 30.09.2019 (upto 11.50 p.m.)
What are the fee criteria for the male candidate in General/ EWS/OBC (Non-creamy layer),"650( in India), 3000 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for the male candidate in SC/ST/PwD/ Transgender?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What are the fee criteria for female candidates in General/ EWS/OBC (Non-creamy layer?),"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for female candidates in SC/ST/PwD/ Transgender?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for male Outside India candidate in SC/ST/PwD/ Transgender ?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What are the fee criteria for male Outside India candidate in General/ OBC (Non-creamy layer),"650( in India), 3000 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the Eligibility for appearing in JEE (Main) – 2020?,"For appearing in the JEE (Main) examination there is no age limit for the candidates. The candidates who have passed class 12th / equivalent examination in 2018, 2019 or appearing in 2020 irrespective of their age can appear in JEE (Main) examination – 2020. The candidates should also satisfy themselves about their fulfilling the age limit requirements of the Institutes in which they are desirous of taking admission. The candidates must note that the IITs have an age limit / restriction, which will be published in JEE(Advanced)-2020 Information Brochure."
What is the age criteria for appearing in JEE (Main) -2020?,"For appearing in the JEE (Main) examination there is no age limit for the candidates. The candidates who have passed class 12th / equivalent examination in 2018, 2019 or appearing in 2020 irrespective of their age can appear in JEE (Main) examination – 2020. The candidates should also satisfy themselves about their fulfilling the age limit requirements of the Institutes in which they are desirous of taking admission. The candidates must note that the IITs have an age limit / restriction, which will be published in JEE(Advanced)-2020 Information Brochure."
The candidate is asking for year of appearance in qualifying Examination.,"Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
The candidate is asking for Number of subjects in the Qualifying Examination (QE),"Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
The candidate is asking for payment mode.,"Debit Card/ Credit card, Net Banking/UPI/ PAYTM:
 Check the validity of the Debit/ Credit Card and keep it ready with you while logging on to website for submitting application form. Candidate should enter the information asked for and make payment through Debit/ Credit Card. 
 Through Net Banking, check the balance in your account and keep all credentials ready with you while logging on to website for submitting application form. Candidate should Login with his/her credentials of net banking and make payment through Net Banking.
 Through UPI service
 Through PAYTM service"
The candidate is asking for No. of attempts in terms of year to appear in JEE (Main) -2020,"Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
"If a Candidate appeared in 12th Class or equivalent examination in 2017and pass the Examination in 2018, will he/she be eligible to appear in JEE (Main) Examination?","Only those candidates who have passed their Class 12th Examination or any equivalent qualifying examination in 2018 or 2019; or those who are appearing in their Class 12th Examination or any equivalent qualifying examination in 2020 are eligible to appear in January JEE(Main)-2020 Examination. 

Candidates who passed Class 12th/Qualifying examination in 2017 or before as well as those who will appear in such examination in 2021 or later are not eligible to appear in JEE (Main)–2020. 

Candidates must note that the IITs permit only two attempts for the JEE (Advanced), i.e. a candidate should have appeared for the Class XII (or equivalent) examination for the first time in either 2019 or 2020, subject to the condition of not having been admitted at an IIT on earlier occasion. Details may be obtained from the Information Brochure of the JEE(Advanced)2020. "
What is the required percentage for General/OBC/SC/ST Categories to appear in JEE(Main) Examination-2020?,"Eligibility for Admission to NITs, IIITs and CFTIs participating through Central Seat Allocation Board: 
Admission to B.E. / B.Tech / B.Arch / B.Planning. Courses in NITs, IIITs and CFTIs participating though Central Seat Allocation Board will be based on All India Rank subject to the condition that the candidate should have secured at least 75% marks in the 12thclass examination, or be in the top 20 percentile in the 12th class / Qualifying examination conducted by the respective Boards. For SC/ST candidates the qualifying marks would be 65% in the 12th class / qualifying examination.The eligibility criteria decided by the Council of Architecture for admission to B.Arch. course other than NITs, IIITs, CFTIs: “No candidate shall be admitted to architecture course unless she/he has passed an examination at the 
end of the qualifying examination with 50% marks in Physics, Chemistry and Mathematics and also 50% 
marks in aggregate of the qualifying examination”. 
For B.Planning, the candidates should have passed qualifying examination with 50 % marks in Mathematics and 50% marks in aggregate of the qualifying examination. "
Is it compulsory for the candidates appearing in class 12th examination in 2020 or improvement examination in 2020 to enter their roll number of class 12th?,"The aspiring Candidates of JEE(Main)-2020 are advised to choose the option “Passed” in the section educational details for class 12th or equivalent if they are already appeared for class 12th or equivalent examination.
However if the Candidates has applied for improvement in one or more subject(s) the verification of the documents for Admission to IITs, NITs, IIITs, CFTIs, SFIs, State Engineering Colleges for Participating States and Other Participating Institutions, will be done by the counselling body.
No need to fill roll no. for appearing candidate of January JEE (Main) -2020"
"Will Candidate need to pay extra fee, i.e., service charges at the time of Online payment?",The extra amount paid above the Examination Fees will be automatically deducted at the time fees payment from Debit/Credit Card.
"If a Candidate chooses English as a question paper medium, will the question paper be bilingual or only in English?","
The medium of Question Paper shall be in English, Hindi and Gujarati. 
The option of question paper language should be exercised while filling up the Application Form and it cannot be changed at a later stage. 
Please note that for correctness of the questions in all the question papers, the English version will be taken as final. "
"If a Candidate fills the JEE (Main) Application form, and in between, Server Error occurs, then will he need to apply again?","Candidates are advised to use updated version of Internet Explorer/ Mozilla Firefox and good internet connection while filling online Application and fees payment. In case of continuous time out, clear cookies and history of the browser and fill in off-peak hours. 
If there is a Server Error / Server are temporarily out of service it will be resolved with 24 hours. "
"If a Candidate register for JEE (Main) Examination-2020 successfully but did not get any confirmation Mail/SMS, what he/she need to do?","The candidates are required to check the status of fee payment at NTA websites jeemain.nta.nic.in 
nta.nic.in and if the status is ‘OK’ the candidate will be able to take the printout of Confirmation Page. In case, the fee payment status is not ‘OK’ the candidates are advised as 
following:- 

If the fee is paid through credit/debit card/Netbanking/UPI /PAYTM and status is not OK, it means the transaction is cancelled and the amount will, automatically, be refunded to concerned credit/debit card/Net Banking/UPI/PAYTM Account within 15 days. Therefore, such candidates have to pay the fee once again and ensure the fee status OK. 
For more details kindly read the Information Bulletin of January JEE (Main)-2020. "
Whether the photograph without the name and date of the photograph is accepted?,"Any candidate has uploaded the photograph without Name and Date inadvertently, the same will also be accepted.”"
The candidate is asking percentage in class 12/percentage in diploma while applying in JEE (Main) -2020?,"Admission to B.E. / B.Tech / B.Arch / B.Planning. Courses in NITs, IIITs and CFTIs participating though Central Seat Allocation Board will be based on All India Rank subject to the condition that the candidate should have secured at least 75% marks in the 12thclass examination, or be in the top 20 percentile in the 12th class / Qualifying examination conducted by the respective Boards. For SC/ST candidates the qualifying marks would be 65% in the 12th class / qualifying examination. 

List of Qualifying Examinations 
i. The final examination of the 10+2 system, conducted by any recognized central/ State Board, such as Central Board of Secondary Education, New Delhi; Council for the Indian School Certificate Examinations, New Delhi; etc. 

ii. Intermediate or two-year Pre-University examination conducted by a recognized Board/ University. 
iii. Final examination of the two-year course of the Joint Services Wing of the National Defense Academy 
iv. Senior Secondary School Examination conducted by the National Institute of Open Schooling with a minimum of five subjects. 
v. Any Public School/ Board/ University examination in India or in any foreign country recognized as equivalent to the 10+2 system by the Association of Indian Universities (AIU). 
Vi. Higher Secondary Certificate Vocational Examination. 
vii. A Diploma recognized by AICTE or a State board of technical education of at least 3 year duration. 
viii. General Certificate Education (GCE) examination (London/Cambridge/Sri Lanka) at the Advanced (A) level. 
ix. High School Certificate Examination of the Cambridge University or International Baccalaureate Diploma of the International Baccalaureate Office, Geneva. "
Will the application of JEE (main) -2019 be rejected if a candidate have filled duplicate forms?,"We will accept only one Application Form and Admit card will be issued on only single Application Form. 
More than one application i.e. Multiple application forms submitted by a candidate will be rejected "
The candidate is asking for State of Eligibility for JEE (main) -2020 Examination?,"State code of eligibility means the code of the State from where the candidate has passed Class XII (or equivalent) qualifying examination by virtue of which the candidate becomes eligible to appear in JEE (Main) 2020. It is important to note that the State code of eligibility does NOT depend upon the native place or the place of residence of the candidate. For example, if a candidate appears for the Class XII examination in New Delhi and is a resident of NOIDA, Uttar Pradesh, the candidate’s State code of eligibility will be that of Delhi and NOT that of Uttar Pradesh. 
If a candidate has passed Class XII (or equivalent) qualifying examination from one State but appeared for improvement from another State, the candidate’s State code of eligibility will be from where the candidate first passed the Class XII (or equivalent) examination and NOT the State from where the candidate has appeared for improvement. 
Candidate passed/appearing class 12th from NIOS should select the State of Eligibility according to the State in which the study centre is located. For Indian nationals passing the Class XII (or equivalent) examination from an institution abroad, the State code of eligibility will be determined on the basis of permanent address in India as given in the passport of the candidate. 
For Indian nationals passing the Class XII (or equivalent) examination from Nepal/Bhutan, the State code of eligibility will be determined on the basis of permanent address in India as given in the passport of the candidate. 
The State code of eligibility of OCI/PIO passing Class XII (or equivalent) examination in India is at par with Indian nationals. However, OCI/PIO passing the Class XII (or equivalent) examination from an institution abroad are eligible for Other State quota seats or All India quota seats (but NOT for Home State quota seats) in all NITs, IIEST and Other-CFTI "
"For appearing in the JEE (Main) examination there is no age limit for the candidates. The candidates who have passed class 12th / equivalent examination in 2018, 2019 or appearing in 2020 irrespective of their age can appear in JEE (Main) examination – 2020. The candidates should also satisfy themselves about their fulfilling the age limit requirements of the Institutes in which they are desirous of taking admission. The candidates must note that the IITs have an age limit / restriction, which will be published in JEE(Advanced)-2020 Information Brochure.","Provisions for Persons with Disabilities: 

Persons with benchmark disabilities (PwD) means a person with not less than forty percent (40%) of a specified disability where specified disability has not been defined in measurable terms and includes a person with disability where specified disability has been defined in measurable terms, as certified by the certifying authority. 
“Specified Disability” means the disabilities as specified in the Schedule of the RPwD Act 2016.The categories of 
disabilities are: 
(i) Blindness and low vision 
(ii) Deaf and hard of hearing 
(iii) Locomotor disability including cerebral palsy, leprosy cured, dwarfism, acid attack victims and muscular dystrophy 
(iv) Autism, intellectual disability, specified learning disability and mental illness, and 
(v) Multiple disabilities from amongst persons under clauses (i) to (iv) 
(vi) Other ‘specified disabilities’ mentioned in the Schedule of the RPwD Act 2016. 

Please refer to Office Memorandum issued by Ministry of Social Justice & Empowerment dated 29 August 2018 (F.No.34-02/2015-DD-III), guideline IV, second paragraph. 

The facility of Scribe/Reader/Lab Assistant should be allowed to any person with benchmark disability as defined under section 2(r) of the RPwD Act, 2016 and has limitation in writing including that of speed if so desired by him/her. 

In case of persons with benchmark disabilities in the category of blindness, Locomotor disability (both arm affected-BA) and cerebral palsy, the facility of scribe/reader/lab assistant shall be given, if so desired by the person. 
In case of other category of persons with benchmark disabilities, the provision of scribe/reader/lab assistant can be allowed on production of a certificate to the effect that the person concerned has physical limitation to write, and scribe is essential to write examination on his behalf, from the Chief Medical Officer/Civil Surgeon/Medical Superintendent of a Government health care institution as per Performa at Appendix I. 

The order further allows the candidate to opt for their own scribe/reader provided the qualification of the scribe is one step below the qualification of the candidate taking the examination. The candidate with bench-mark disabilities opting for their own scribe/reader should submit details of their own scribe as per performa at Appendix II 

Twenty minutes per hour compensatory time as per duration of examination will also be allowed to the candidates who are availing the facility of scribe/reader/lab assistant. 

Important Note: The reservation policy, as announced by the government from time to time will be followed by the admitting institutes. The candidates are advised to look for the details at the time of admission "
The candidate is asking for No. of Subjects and Improvement in Class XII appearing and Year of Qualification?,"Course Required Criteria based on Class 12th / Equivalent qualifying Examination 
B.E/B.TECH. Passed qualifying examination with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Biotechnology/Biology/ Technical Vocational subject. 
B.ARCH. Passed qualifying examination with Mathematics, Physics, Chemistry 
B.PLANNING Passed qualifying examination with Mathematics 

If you are writing improvement in 01 or more subjects then the percentage will be calculated by considering maximum marks in the subject from both the years. In case, you are giving improvement in all the five subjects, individual best score in subject will not be taken, complete best year performance will be taken (either 2018 or 2019). 
The verification of academic/cast certificates etc. documents would be done at the time of Seat Allocation Process/admission. "
The candidate is asking for the image size and instructions for applying in JEE (Main) -2020?,"Candidates are advised to upload the photograph and signature in the following format 
(a) The recent photograph should be coloured or black/white (but clear contrast). 
(b) Scanned photograph and signature should be in JPG/JPEG format. 
(c) Size of scanned photograph should be between 10 kb to 200 kb. 
(d) Size of scanned signature should be between 4 kb to 30 kb. 
Note: Use updated version of Internet Explorer/ Mozilla Firefox and good internet connection while filling online Application. In case of continuous time out, clear cookies and history of the browser and fill in off-peak hours. 
Photograph without name and date is also accepted but photograph should be latest 
For more details kindly read the Information Bulletin of January JEE (Main)-2020 "
The candidate is asking for reservation system and category while applying in JEE (Main) -2020?,"As per Government of India rules candidates belonging to certain categories are admitted to seats reserved for them based on relaxed criteria. These categories are:

General-EWS
Other Backward Classes (OBC) Non Creamy Layer (NCL)
Scheduled Castes (SC)
Scheduled Tribes (ST)
Persons with Disability (PwD) with 40% or more disability

Benefit of reservation for admission to NITs/IIITs and CFTIs shall be given only to those classes/castes/tribes which are in the respective central list published by the Govt. of India. For admission to State Engineering colleges who have opted for admission through JEE (Main)-2020, the reservation rules of that State shall apply. The letter/e-mails/grievances/RTI cases/Court cases regarding reservation criteria will not be entertained by NTA. 

The reservation policy as announced by the government from time to time and applicable to the admitting institutes will be used. The Candidates are advised to look for details at the time of admission.
For more details kindly read the Information Bulletin of JEE (Main)-2020."
