question,answer
What is UGC-NET?,UGC-NET or University Grants Commission – National Eligibility Test is a test conducted to determine the eligibility for ‘Assistant Professor’ or ‘Assistant Professor & Junior Research Fellowship’ both in college and university.
"What is the responsibility of NTA for, UGC-NET December 2019?","NTA has been established by The Ministry of Human Resource Development (MHRD), Government of India (GOI) as a premier, specialist, autonomous and self-sustained testing organization 1860 for conducting efficient, transparent and international standards tests in order to assess the competency of candidates for admissions to premier higher education institutions. has established National Testing Agency (NTA) as an independent autonomous and self-sustained premier testing organization under Society Registration Act The University Grants Commission (UGC) has entrusted the responsibility of conducting UGC-NET to the NTA."
When will be the Online Application form for UGC NET December 2019 be available on website?,The Online Application form for UGC NET December 2019 will be available from 02-09-2019 to 01-10-2019 on the www.ntanet.nic.in website.
"When will UGC-NET, 2019 Examination be conducted?","The UGC-NET Examination is usually conducted twice a year in June and December. In December, it would be held between 2nd and 6th December, 2019"
Whether the examination will be offline or online? ,"This will be a Computer Based Test, only"
Will NTA reserve its discretion to fix the centre in a city which is given in the Annexure-I?,"As far as possible the candidate will be given a choice from the options offered, however, NTA may need to use discretion due to administrative reasons."
Can a centre be allotted by the NTA manually?,No
How long is the result/award of UGC-NET valid?,"For Junior Research Fellowship: The validity period of the offer is three years w.e.f. the date of issue of JRF Award letter. However, in case of candidate who has already joined M.Phil. /Ph.D., the date of commencement of Fellowship shall be from the date of declaration of NET result or date of their joining, whichever is later."
"What if the dates of Examination of UGC-NET December, 2019 clashes with any other National / State level examination?","NTA will check the issue, and rectify it as per the availability of examination dates. However Candidates need to mail us subjects in which they have registered /intend to appear"
Where will the NET Qualified Candidate get the E-Certificate?,"Till December 2018 test administration_the role of NTA was limited to the conduct of NET Examination and declaration of result. The E-certificates to qualified candidates were issued by UGC- NET Bureau. For December 2019, the e-certificates and JRF award letter, both would be issued by NTA on behalf of UGC."
"Is there any Negative Marking in the UGC-NET December, 2019?","No, there is no Negative Marking in UGC-NET December, 2019."
"How can I select the Date and Shift of Examination of UGC-NET December, 2019? ",There is no facility for the candidates to choose the examination dates and shifts. Examination dates/shifts will be allotted by the NTA as per the availability of seats in the four cities opted by the candidates
"Is there any helpline for UGC-NET December, 2019 examination for the aspirants?",Yes. Details are available on the website www.nta.ac.in and in Information Bulletin. Helpline No.:- E-mail: ugcnet-nta@nic.in .
What is the number of attempts for appearing in UGC-NET?,UGC-NET is conducted twice a year. There is no restriction on number of attempts.
"In case, the Candidate has uploaded Signature in blue ink instead of black ink with the application form of UGC-NET December, 2019, will the form be rejected?","Your Application Form will not be rejected merely for this mistake, if other fields are appropriately filled"
"What is the syllabus for UGC-NET December, 2019?",The link for updated syllabus is given below: https://www.ugcnetonline.in/syllabus-new.php
"Will updated syllabus of NET be applicable to UGC-NET December, 2019?",The updated syllabus of UGC-NET will be applicable for upcoming exams from June 2019 onwards.
Can NTA allot the examination centre in any city other than the options exercised by the candidates?,"The candidates have to select any four cities of their choice for examination of NET December, 2019. The efforts will be made to allot city of examination to the candidates as per their choice opted in the application form. However, this is not a guarantee. Due to administrative reasons, centres may be allocated to a city other than 4 options."
"What is the duration/timing of UGC-NET December, 2019?",Duration of the examination is 3 hours (180 minutes) in a single session. The detailed schedule and timing is mentioned in Information bulletin available on website www.ntanet.nic.in
"How to fill up ‘online’ Application Form for UGC-NET December, 2019? Are there any guidelines for the students before filling the application form?",The details regarding submission of application is available in the NTA website i.e. www.ntanet.nic.in For more details please go through the Information Bulletin Annexure-VIII (Replica of Application Form)
What action is to be taken if the candidate has opted English as a medium for examination and wants to appear in Hindi medium?,"The medium option should be filled carefully while applying online. However in CBT, candidates can also change the medium of question during the examination."
Is Thumb Impression mandatory while filling UGC NET December 2019 Application Form?,There is no need to upload thumb impression in online application of UGC NET December 2019.
"What should I do, if ‘continuous timeout’ or ‘file not found error’ occurs while filling online Application Form of UGC NET December 2019?",Use updated version of Mozilla Firefox/Internet Explorer and good internet connection while filling application form. In case of continuous time out one can clear cookies and history of the browser and fill in off-peak hours.
What are the enclosures that should be sent to NTA along with the confirmation page ?,Candidates are not required to send/submit any document(s) including Confirmation Page to NTA through Post/ Fax/ By Hand.
I have no access to a computer and no experience with Computer Based Tests. How can I prepare for the exam?,"NTA has selected chools and colleges with internet and computer facilities, and these centres have been designated as Test Practice Centers (TPCs) for facilitating free practice sessions on every Saturday and Sunday for UGC-NET December, 2019 aspirants. There are over 4000 TPCs in the country. An NTA App is also available for free download."
What do the candidates need to bring to the exam center?,"The candidate is required to bring the following at the examination centre (Also read the Information Bulletin
carefully):-
 Admit Card downloaded from NTA website
 One passport size photograph to be affixed on attendance
sheet.
 An original valid Govt Photo Id
 PwD Certificate (in order to avail facilities for PwD
Candidates)
Candidates are advised not to bring any other item in the
examination centres. There will be no arrangement for safe
keeping of any material at the centre. Neither NTA nor centre
will be responsible for any loss, delay etc"
"In case the Photograph does not carry Name & Date of the Photograph, would the form be rejected?","1. The Application form will not be rejected in this case because it is not mandatory to mention Name & Date in Photograph. However, photograph should be clear, and without cap or goggles. Spectacles are allowed if being used regularly. Polaroid and Computer generated photos are not acceptable. 2. Applications not complying with these instructions or with unclear photographs are liable to be rejected. Candidates may please note that if it is found that photograph uploaded is fabricated i.e. de-shaped or seems to be hand-made or computer made, the form of the candidate will be rejected and the same would be considered as using unfair means and the candidate would be dealt with accordingly. 3. Candidates are advised to take 6 to 8 passport size coloured photographs clear with white background. 4. The candidate should scan his/her passport size photograph for uploading. File size must be between 10 kb to 200 kb."
