question,answer
Release of Application Form,3rd September 2019
Image correction started,13th September 2019
Last date to submit the application form,10th October 2019 (Extended)
Last date of fee submission & image uploading,11th October 2019
Application correction window,14th � 20th October 2019
Availability of Admit card,6th December 2019
Exam dates,6th � 11th January 2020
Declaration of Results,31st January 2020
Answer Key,Third week of January 2020
Availability of Answer Key challenge facility,Third week of January 2020
Release of Final Answer Key,Last week of January 2020
Age Limit,"For appearing in the JEE (Main) examination there is no age limit for the candidates. The candidates who have passed class 12th / equivalent examination in 2018, 2019 or appearing in 2020 irrespective of their age can appear in JEE (Main) examination � 2020. The candidates should also satisfy themselves about their fulfilling the age limit requirements of the Institutes in which they are desirous of taking admission. The candidates must note that the IITs have an age limit / restriction, which will be published in JEE(Advanced)-2020 Information Brochure."
Medium Of Exam,"The medium of Question Paper shall be in English, Hindi and Gujarati.The option of question paper language should be exercised while filling up the Application Form and it cannot be changed at a later stage.Please note that for correctness of the questions in all the question papers, the English version will be taken as final. "
Mode of Exam,Online
Criteria for Foreign Candidate/NRI student,"State code of eligibility means the code of the State from where the candidate has passed Class XII (or equivalent) qualifying examination by virtue of which the candidate becomes eligible to appear in JEE (Main) 2020. It is important to note that the State code of eligibility does NOT depend upon the native place or the place of residence of the candidate. For example, if a candidate appears for the Class XII examination in New Delhi and is a resident of NOIDA, Uttar Pradesh, the candidate�s State code of eligibility will be that of Delhi and NOT that of Uttar Pradesh. 
If a candidate has passed Class XII (or equivalent) qualifying examination from one State but appeared for improvement from another State, the candidate�s State code of eligibility will be from where the candidate first passed the Class XII (or equivalent) examination and NOT the State from where the candidate has appeared for improvement. 
Candidate passed/appearing class 12th from NIOS should select the State of Eligibility according to the State in which the study centre is located. For Indian nationals passing the Class XII (or equivalent) examination from an institution abroad, the State code of eligibility will be determined on the basis of permanent address in India as given in the passport of the candidate. 
For Indian nationals passing the Class XII (or equivalent) examination from Nepal/Bhutan, the State code of eligibility will be determined on the basis of permanent address in India as given in the passport of the candidate. 
The State code of eligibility of OCI/PIO passing Class XII (or equivalent) examination in India is at par with Indian nationals. However, OCI/PIO passing the Class XII (or equivalent) examination from an institution abroad are eligible for Other State quota seats or All India quota seats (but NOT for Home State quota seats) in all NITs, IIEST and Other-CFTI "
What is the age criteria/limit for appearing in JEE (Main) -2020?,"For appearing in the JEE (Main) examination there is no age limit for the candidates. The candidates who have passed class 12th / equivalent examination in 2018, 2019 or appearing in 2020 irrespective of their age can appear in JEE (Main) examination � 2020. The candidates should also satisfy themselves about their fulfilling the age limit requirements of the Institutes in which they are desirous of taking admission. The candidates must note that the IITs have an age limit / restriction, which will be published in JEE(Advanced)-2020 Information Brochure."
Pattern of Examination,For more details kindly see �SCHEDULE OF EVENTS WITH DATES� of Information Bulletin of JEE (Main)-2020.
Number of Attempts,"Candidate can appear for three attempts for JEE mains. This exam will be conducted two times in a year that is in January and April, so total attempts are six. Hence the students will get chance to appear three times and can try for better score in order to get the best college for engineering. It is not necessary to appear for both exams which will be held in January and April. A candidate can either give one exam or both as per his/her wish.�"
Change of Exam Date & Shift,"The centre, date and shift allotted to the candidates for the JEE (Main)-2020 Examination by NTA is final. No changes will be made in the same."
Required Percentage,"Percentage required for iit is 75 percent for candidates belonging to general, obc-ncl and 65 percent to the candidates belonging to the categories like sc, st, pwd. so the candidate who wants to appear for iit exam must qualify 12th with 75 percent for general, obc category and 65 percent for other reserved categories like sc, st, pwd."
State of Eligibility,"State code of eligibility means the code of the State from where the candidate has passed Class XII (or equivalent) qualifying examination by virtue of which the candidate becomes eligible to appear in JEE (Main) 2020. It is important to note that the State code of eligibility does NOT depend upon the native place or the place of residence of the candidate. For example, if a candidate appears for the Class XII examination in New Delhi and is a resident of NOIDA, Uttar Pradesh, the candidate�s State code of eligibility will be that of Delhi and NOT that of Uttar Pradesh. 
If a candidate has passed Class XII (or equivalent) qualifying examination from one State but appeared for improvement from another State, the candidate�s State code of eligibility will be from where the candidate first passed the Class XII (or equivalent) examination and NOT the State from where the candidate has appeared for improvement. 
Candidate passed/appearing class 12th from NIOS should select the State of Eligibility according to the State in which the study centre is located. For Indian nationals passing the Class XII (or equivalent) examination from an institution abroad, the State code of eligibility will be determined on the basis of permanent address in India as given in the passport of the candidate. 
For Indian nationals passing the Class XII (or equivalent) examination from Nepal/Bhutan, the State code of eligibility will be determined on the basis of permanent address in India as given in the passport of the candidate. 
The State code of eligibility of OCI/PIO passing Class XII (or equivalent) examination in India is at par with Indian nationals. However, OCI/PIO passing the Class XII (or equivalent) examination from an institution abroad are eligible for Other State quota seats or All India quota seats (but NOT for Home State quota seats) in all NITs, IIEST and Other-CFTI "
What are the fee criteria for the male candidate in General/ EWS/OBC (Non-creamy layer),"650( in India), 3000 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for the male candidate in SC/ST/PwD/ Transgender?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What are the fee criteria for female candidates in General/ EWS/OBC (Non-creamy layer?),"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for female candidates in SC/ST/PwD/ Transgender?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What is the fee criteria for male Outside India candidate in SC/ST/PwD/ Transgender ?,"325( in India), 1500 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
What are the fee criteria for male Outside India candidate in General/ OBC (Non-creamy layer),"650( in India), 3000 (Out side india) ( for B.E./B.Tech or B.Arch or B.Planning)"
Image Size and Instructions,"Candidates are advised to upload the photograph and signature in the following format  (a) The recent photograph should be coloured or black/white (but clear contrast).  (b) Scanned photograph and signature should be in JPG/JPEG format.  (c) Size of scanned photograph should be between 10 kb to 200 kb.  (d) Size of scanned signature should be between 4 kb to 30 kb.  Note: Use updated version of Internet Explorer/ Mozilla Firefox and good internet connection while filling online Application. In case of continuous time out, clear cookies and history of the browser and fill in off-peak hours.  Photograph without name and date is also accepted but photograph should be latest  For more details kindly read the Information Bulletin of January JEE (Main)-2020 "
Rejection of Duplicate Forms,We will accept only one Application Form and Admit card will be issued on only single Application Form. More than one application i.e. Multiple application forms submitted by a candidate will be rejected 
Acceptance of Photograph without name and date,"Any candidate has uploaded the photograph without Name and Date inadvertently, the same will also be accepted.�"
Choice of 4 Exam Cities,Yes its necessary to select 4 cities
Id Proofs Required,"Any one of the authorized photo IDs (must be original, valid and non-expired) � PAN card/ Driving License/ Voter ID/ Passport/ Aadhaar Card (With photograph)/E-Aadhaar with photograph/ Ration Card with photograph/ 12th Class Board Admit Card with photograph/ Bank Passbook with Photograph"
Confirmation Page Download,The candidates are required to check the status of fee payment at JEE (Main) website (nta.nic.in) and take the printout of Confirmation Page.
Correction in Application Form,"An opportunity after a week of last date will be given to the candidates who have paid their fees and completed all the steps for such corrections, if any. The Correction in particulars of Application Form will be done through website (login with Application No. & Password) only from 11.10.2019 to 17.10.2019. No correction will be allowed thereafter. It is a onetime correction facility to the candidates to avoid any hardship to them, the candidates are informed to undertake the correction(s) very carefully as no further chance will be given. Moreover any changes in the correction have to be done online & cannot be sent in the form of hard copy/email /by hand /by post. For more details kindly see �SCHEDULE OF EVENTS WITH DATES� of Information Bulletin of JEE (Main)-2020. "
Discrepancy in Images,"If there is any discrepancy found in the images, a message will be sent to candidate�s registered mobile number and link will be provided to correct the images in their login. "
Password Reset,Kindly reset your password from the link given below:   https://testservices.nic.in/examsys/ForgotPassword/PwdResetOptno.aspx
Recovery of Application Number,Kindly reset your Application No. from the link given below:   https://testservices.nic.in/examsys/ForgotPassword/ForgetRegistration.aspx
Gate Closing Time,All details will be mentioned in Admit Card
Reporting time of Exam,All details will be mentioned in Admit Card
Aadhar Card Mandatory,No. Aadhar Card is not mandatory for JEE Main 2020. Any identification proof is sufficient�for the JEE exam.�
Use of Calculator,"Candidates are not allowed to carry any textual material, Calculators, Docu Pen, Slide Rules, Log Tables, and Electronic Watches with facilities of calculator, printed or written material, and bits of papers, mobile phone, pager or any other device, except the Admit Card and ID proof inside the Examination Room/Hall. If any candidate is in possession of any of the above item, his/her candidature will be treated as unfair means and his/her current examination will be cancelled & he/she will also be debarred for future examination(s) & the equipment will be seized. "
