question,answer
Release of Application Form,9th September 2019
Image correction started,18th Oct to 25th October 2019
Last date to submit the application form,9th October 2019
Last date of fee submission & image uploading,10th October 2019  (upto 11:50 pm)
Application correction window,18th Oct to 25th October 2019
Availability of Admit card,9th November 2019
JEE Main 2020 Exam,2nd to 6th December 2019
Declaration of Results,31st December 2019
Answer Key,To be announced later on website
Availability of Answer Key challenge facility,To be announced later on website
Release of Final Answer Key,To be announced later on website
Age Limit,"As per the UGC NET Eligibility, there is no age limit for the assistant professor while the age of the candidates for the JRF should not exceed 30 years."
Medium Of Exam,The medium of Question Paper shall be in English and Hindi
Mode of Exam,It will conduct in Online (Computer Based Test) mode.
Criteria for Foreign Candidate/NRI student,"Candidates having post-graduate diploma/certificate awarded by Indian University/ Institute or foreign degree/diploma/certificate awarded by the foreign University/Institute should in their own interest, ascertain the equivalence of their diploma/degree/certificate with Master’s degree of recognized Indian universities from Association of Indian Universities (AIU), New Delhi."
What is the age criteria/limit?,"(i) Junior Research Fellowship: Not more than 30 years as on 1 December,2019. A relaxation up to 5 years is provided to the candidates belonging to OBC (Noncreamy layer, as per the Central list of OBC available on website: www.ncbc.nic.in ) SC/ST/PD/Transgender categories and to women applicants. Relaxation will also be provided to the candidates having research experience, limited to the period spent on research in the relevant/related subject of post-graduation degree, subject to a maximum of 5 years, on production of a certificate from appropriate authority. Three years relaxation in age will be permissible to the candidates possessing L.L.M. Degree. A relaxation of up to 5 years is provided to the candidates who have served in the armed forces subject to the length of service in the armed forces up to the first day of the month in which the concerned UGC-NET is to be held. Total age relaxation on the above ground(s) shall not exceed five years under any circumstances. (ii) Assistant Professor: There is no upper age limit for applying for eligibility for Assistant Professor."
Pattern of Examination,"UGC NET December 2019 Exam will be conducted in online mode to determine the candidate’s eligibility for Assistant Professor and Junior Research Fellowship (JRF) or Assistant Professor only posts in Indian Universities and Colleges. It will be a Computer-Based Test (CBT) consisting of two papers, i.e., Paper I and II conducted in a single session (No break between Paper 1 & Paper 2). Candidates are required to appear for both the papers in order to be eligible for JRF and Assistant Professor or Assistant Professor only."
Number of Attempts,No restriction on number of attempts only for JRF age limit is 30 yrs.
Change of Exam Date & Shift,There is no facility for the candidates to choose the examination dates and shifts as the Selection of examination dates/shifts will be allotted by the NTA as per the availability in the four cities that you have opted for.
Required Percentage,"Candidates who have secured at least 55% marks (without rounding off) in Master’s Degree OR equivalent examination from universities/ institutions recognized by UGC (on the website:https://www.ugc.ac.in/oldpdf/consolidated%20list%2 0of%20All%20universities.pdf) in Humanities (including languages) and Social Science, Computer Science & Applications, Electronic Science etc. (list of subjects at postgraduation level attached as Annexure-IV) are eligible for this Test. "
State of Eligibility,N/A
What are the fee criteria for the male candidate in General/ EWS/OBC (Non-creamy layer),1000/-for general and unreserved and 500 for Gen-EWS*/ OBC-NCL** 
What is the fee criteria for the male candidate in SC/ST/PwD/ Transgender?,250/-
What are the fee criteria for female candidates in General/ EWS/OBC (Non-creamy layer?),1000/- for general and unreserved and 500 for Gen-EWS*/ OBC-NCL** 
What is the fee criteria for female candidates in SC/ST/PwD/ Transgender?,250/-
What is the fee criteria for male Outside India candidate in SC/ST/PwD/ Transgender ?,250/-
What are the fee criteria for male Outside India candidate in General/ OBC (Non-creamy layer),1000/- for general and unreserved and 500 for Gen-EWS*/ OBC-NCL** 
Image Size and Instructions,"Candidates are advised to upload the photograph and signature in the following format  (a) The recent photograph should be coloured or black/white (but clear contrast).  (b) Scanned photograph and signature should be in JPG/JPEG format.  (c) Size of scanned photograph should be between 10 kb to 200 kb.  (d) Size of scanned signature should be between 4 kb to 30 kb.  Note: Use updated version of Internet Explorer/ Mozilla Firefox and good internet connection while filling online Application. In case of continuous time out, clear cookies and history of the browser and fill in off-peak hours.  Photograph without name and date is also accepted but photograph should be latest."
Rejection of Duplicate Forms,We will accept only one Application Form and Admit card will be issued on only single Application Form. More than one application i.e. Multiple application forms submitted by a candidate will be rejected 
Acceptance of Photograph without name and date,"Any candidate has uploaded the photograph without Name and Date inadvertently, the same will also be accepted"
Choice of 4 Exam Cities,Yes its necessary to select 4 cities
Id Proofs Required,"Any one of the authorized photo IDs (must be original, valid and non-expired) � PAN card/ Driving License/ Voter ID/ Passport/ Aadhaar Card (With photograph)/E-Aadhaar with photograph/ Ration Card with photograph/ 12th Class Board Admit Card with photograph/ Bank Passbook with Photograph"
Confirmation Page Download,The candidates are required to check the status of fee payment at UGC-NET website (nta.nic.in) and take the printout of Confirmation Page.
